time;face_valid;bpm
5000;1;84
5033;1;83.4492
5066;1;83.4492
5100;1;83.4327
5133;1;84
5166;1;83.4492
5200;1;83.4327
5233;1;84
5266;1;83.4492
5300;1;83.4327
5333;1;84
5366;1;83.4492
5400;1;83.4327
5433;1;84
5466;1;83.4492
5500;1;83.4327
5533;1;84
5566;1;47.6853
5600;1;47.6758
5633;1;48
5666;1;47.6853
5700;1;83.4327
5733;1;84
5766;1;83.4492
5800;1;83.4327
5833;1;84
5866;1;83.4492
5900;1;83.4327
5933;1;84
5966;1;83.4492
6000;1;83.4327
6033;1;84
6066;1;83.4492
6100;1;83.4327
6133;1;84
6166;1;83.4492
6200;1;83.4327
6233;1;84
6266;1;83.4492
6300;1;83.4327
6333;1;84
6366;1;83.4492
6400;1;83.4327
6433;1;84
6466;1;83.4492
6500;1;83.4327
6533;1;84
6566;1;83.4492
6600;1;83.4327
6633;1;84
6666;1;83.4492
6700;1;83.4327
6733;1;60
6766;1;59.6066
6800;1;59.5948
6833;1;60
6866;1;59.6066
6900;1;59.5948
6933;1;60
6966;1;59.6066
7000;1;59.5948
7033;1;60
7066;1;59.6066
7100;1;59.5948
7133;1;60
7166;1;59.6066
7200;1;59.5948
7233;1;60
7266;1;59.6066
7300;1;59.5948
7333;1;60
7366;1;59.6066
7400;1;59.5948
7433;1;60
7466;1;59.6066
7500;1;59.5948
7533;1;60
7566;1;59.6066
7600;1;59.5948
7633;1;60
7666;1;59.6066
7700;1;59.5948
7733;1;60
7766;1;59.6066
7800;1;59.5948
7833;1;60
7866;1;59.6066
7900;1;59.5948
7933;1;60
7966;1;59.6066
8000;1;59.5948
8033;1;60
8066;1;59.6066
8100;1;59.5948
8133;1;60
8166;1;59.6066
8200;1;59.5948
8233;1;60
8266;1;59.6066
8300;1;59.5948
8333;1;60
8366;1;59.6066
8400;1;59.5948
8433;1;60
8466;1;59.6066
8500;1;59.5948
8533;1;60
8566;1;59.6066
8600;1;59.5948
8633;1;60
8666;1;59.6066
8700;1;59.5948
8733;1;60
8766;1;59.6066
8800;1;59.5948
8833;1;60
8866;1;59.6066
8900;1;59.5948
8933;1;60
8966;1;59.6066
9000;1;59.5948
9033;1;60
9066;1;59.6066
9100;1;59.5948
9133;1;60
9166;1;59.6066
9200;1;59.5948
9233;1;60
9266;1;59.6066
9300;1;59.5948
9333;1;96
9366;1;95.3706
9400;1;95.3516
9433;1;96
9466;1;95.3706
9500;1;95.3516
9533;1;96
9566;1;95.3706
9600;1;95.3516
9633;1;96
9666;1;95.3706
9700;1;95.3516
9733;1;96
9766;1;95.3706
9800;1;95.3516
9833;1;96
9866;1;95.3706
9900;1;95.3516
9933;1;96
9966;1;95.3706
10000;1;95.3516
10033;1;96
10066;1;95.3706
10100;1;95.3516
10133;1;48
10166;1;47.6853
10200;1;95.3516
10233;1;48
10266;1;95.3706
10300;1;47.6758
10333;1;48
10366;1;47.6853
10400;1;47.6758
10433;1;48
10466;1;47.6853
10500;1;47.6758
10533;1;48
10566;1;47.6853
10600;1;95.3516
10633;1;96
10666;1;95.3706
10700;1;95.3516
10733;1;96
10766;1;95.3706
10800;1;95.3516
10833;1;96
10866;1;95.3706
10900;1;95.3516
10933;1;96
10966;1;95.3706
11000;1;95.3516
11033;1;96
11066;1;95.3706
11100;1;95.3516
11133;1;96
11166;1;95.3706
11200;1;95.3516
11233;1;48
11266;1;47.6853
11300;1;47.6758
11333;1;48
11366;1;47.6853
11400;1;47.6758
11433;1;48
11466;1;47.6853
11500;1;47.6758
11533;1;48
11566;1;47.6853
11600;1;59.5948
11633;1;60
11666;1;95.3706
11700;1;95.3516
11733;1;96
11766;1;95.3706
11800;1;95.3516
11833;1;96
11866;1;95.3706
11900;1;95.3516
11933;1;96
11966;1;95.3706
12000;1;95.3516
12033;1;96
12066;1;95.3706
12100;1;95.3516
12133;1;96
12166;1;95.3706
12200;1;95.3516
12233;1;96
12266;1;95.3706
12300;1;95.3516
12333;1;96
12366;1;95.3706
12400;1;95.3516
12433;1;96
12466;1;95.3706
12500;1;95.3516
12533;1;96
12566;1;95.3706
12600;1;95.3516
12633;1;96
12666;1;95.3706
12700;1;47.6758
12733;1;48
12766;1;47.6853
12800;1;47.6758
12833;1;48
12866;1;47.6853
12900;1;47.6758
12933;1;48
12966;1;47.6853
13000;1;47.6758
13033;1;48
13066;1;47.6853
13100;1;47.6758
13133;1;48
13166;1;47.6853
13200;1;47.6758
13233;1;48
13266;1;47.6853
13300;1;47.6758
13333;1;48
13366;1;47.6853
13400;1;59.5948
13433;1;60
13466;1;59.6066
13500;1;59.5948
13533;1;48
13566;1;47.6853
13600;1;47.6758
13633;1;48
13666;1;59.6066
13700;1;59.5948
13733;1;60
13766;1;59.6066
13800;1;59.5948
13833;1;60
13866;1;59.6066
13900;1;47.6758
13933;1;48
13966;1;47.6853
14000;1;47.6758
14033;1;48
14066;1;47.6853
14100;1;47.6758
14133;1;48
14166;1;47.6853
14200;1;59.5948
14233;1;60
14266;1;59.6066
14300;1;59.5948
14333;1;60
14366;1;59.6066
14400;1;59.5948
14433;1;84
14466;1;59.6066
14500;1;59.5948
14533;1;60
14566;1;59.6066
14600;1;59.5948
14633;1;60
14666;1;59.6066
14700;1;59.5948
14733;1;60
14766;1;59.6066
14800;1;59.5948
14833;1;60
14866;1;59.6066
14900;1;59.5948
14933;1;60
14966;1;83.4492
15000;1;83.4327
15033;1;84
15066;1;83.4492
15100;1;83.4327
15133;1;84
15166;1;83.4492
15200;1;83.4327
15233;1;84
15266;1;83.4492
15300;1;83.4327
15333;1;84
15366;1;83.4492
15400;1;83.4327
15433;1;84
15466;1;83.4492
15500;1;83.4327
15533;1;84
15566;1;47.6853
15600;1;47.6758
15633;1;48
15666;1;47.6853
15700;1;47.6758
15733;1;48
15766;1;47.6853
15800;1;47.6758
15833;1;48
15866;1;47.6853
15900;1;47.6758
15933;1;72
15966;1;71.5279
16000;1;71.5137
16033;1;72
16066;1;71.5279
16100;1;71.5137
16133;1;72
16166;1;71.5279
16200;1;71.5137
16233;1;72
16266;1;47.6853
16300;1;47.6758
16333;1;72
16366;1;71.5279
16400;1;71.5137
16433;1;48
16466;1;47.6853
16500;1;47.6758
16533;1;48
16566;1;47.6853
16600;1;47.6758
16633;1;72
16666;1;47.6853
16700;1;107.271
16733;1;108
16766;1;107.292
16800;1;107.271
16833;1;108
16866;1;107.292
16900;1;107.271
16933;1;108
16966;1;107.292
17000;1;107.271
17033;1;108
17066;1;107.292
17100;1;107.271
17133;1;108
17166;1;107.292
17200;1;107.271
17233;1;108
17266;1;107.292
17300;1;107.271
17333;1;48
17366;1;47.6853
17400;1;47.6758
17433;1;60
17466;1;59.6066
17500;1;59.5948
17533;1;60
17566;1;59.6066
17600;1;59.5948
17633;1;108
17666;1;59.6066
17700;1;107.271
17733;1;48
17766;1;107.292
17800;1;95.3516
17833;1;96
17866;1;95.3706
17900;1;95.3516
17933;1;96
17966;1;95.3706
18000;1;95.3516
18033;1;48
18066;1;47.6853
18100;1;47.6758
18133;1;48
18166;1;47.6853
18200;1;47.6758
18233;1;48
18266;1;47.6853
18300;1;47.6758
18333;1;48
18366;1;59.6066
18400;1;59.5948
18433;1;108
18466;1;107.292
18500;1;95.3516
18533;1;48
18566;1;95.3706
18600;1;95.3516
18633;1;60
18666;1;59.6066
18700;1;59.5948
18733;1;60
18766;1;119.213
18800;1;59.5948
18833;1;72
18866;1;59.6066
18900;1;71.5137
18933;1;60
18966;1;95.3706
19000;1;95.3516
19033;1;96
19066;1;95.3706
19100;1;95.3516
19133;1;96
19166;1;95.3706
19200;1;95.3516
19233;1;96
19266;1;95.3706
19300;1;95.3516
19333;1;60
19366;1;95.3706
19400;1;95.3516
19433;1;96
19466;1;95.3706
19500;1;95.3516
19533;1;96
19566;1;95.3706
19600;1;95.3516
19633;1;60
19666;1;59.6066
19700;1;95.3516
19733;1;96
19766;1;95.3706
19800;1;59.5948
19833;1;72
19866;1;71.5279
19900;1;71.5137
19933;1;72
19966;1;71.5279
20000;1;95.3516
20033;1;96
20066;1;95.3706
20100;1;95.3516
20133;1;84
20166;1;95.3706
20200;1;83.4327
20233;1;84
20266;1;83.4492
20300;1;83.4327
20333;1;84
20366;1;83.4492
20400;1;83.4327
20433;1;84
20466;1;83.4492
20500;1;83.4327
20533;1;84
20566;1;83.4492
20600;1;83.4327
20633;1;84
20666;1;83.4492
20700;1;83.4327
20733;1;84
20766;1;83.4492
20800;1;83.4327
20833;1;84
20866;1;83.4492
20900;1;83.4327
20933;1;84
20966;1;83.4492
21000;1;83.4327
21033;1;84
21066;1;83.4492
21100;1;83.4327
21133;1;84
21166;1;83.4492
21200;1;83.4327
21233;1;84
21266;1;83.4492
21300;1;83.4327
21333;1;84
21366;1;83.4492
21400;1;83.4327
21433;1;84
21466;1;83.4492
21500;1;83.4327
21533;1;84
21566;1;83.4492
21600;1;83.4327
21633;1;84
21666;1;83.4492
21700;1;83.4327
21733;1;84
21766;1;83.4492
21800;1;83.4327
21833;1;84
21866;1;83.4492
21900;1;83.4327
21933;1;84
21966;1;83.4492
22000;1;95.3516
22033;1;96
22066;1;95.3706
22100;1;83.4327
22133;1;84
22166;1;83.4492
22200;1;83.4327
22233;1;84
22266;1;83.4492
22300;1;83.4327
22333;1;84
22366;1;83.4492
22400;1;83.4327
22433;1;84
22466;1;83.4492
22500;1;83.4327
22533;1;84
22566;1;83.4492
22600;1;83.4327
22633;1;84
22666;1;83.4492
22700;1;83.4327
22733;1;84
22766;1;83.4492
22800;1;83.4327
22833;1;84
22866;1;83.4492
22900;1;83.4327
22933;1;72
22966;1;71.5279
23000;1;71.5137
23033;1;72
23066;1;71.5279
23100;1;71.5137
23133;1;60
23166;1;59.6066
23200;1;59.5948
23233;1;60
23266;1;59.6066
23300;1;59.5948
23333;1;60
23366;1;71.5279
23400;1;71.5137
23433;1;60
23466;1;71.5279
23500;1;47.6758
23533;1;48
23566;1;47.6853
23600;1;47.6758
23633;1;48
23666;1;47.6853
23700;1;47.6758
23733;1;48
23766;1;71.5279
23800;1;71.5137
23833;1;72
23866;1;71.5279
23900;1;71.5137
23933;1;72
23966;1;71.5279
24000;1;71.5137
24033;1;48
24066;1;71.5279
24100;1;71.5137
24133;1;48
24166;1;107.292
24200;1;107.271
24233;1;48
24266;1;47.6853
24300;1;47.6758
24333;1;48
24366;1;47.6853
24400;1;47.6758
24433;1;48
24466;1;47.6853
24500;1;47.6758
24533;1;72
24566;1;71.5279
24600;1;71.5137
24633;1;48
24666;1;59.6066
24700;1;59.5948
24733;1;84
24766;1;71.5279
24800;1;71.5137
24833;1;72
24866;1;59.6066
24900;1;59.5948
24933;1;60
24966;1;59.6066
25000;1;59.5948
25033;1;60
25066;1;59.6066
25100;1;59.5948
25133;1;60
25166;1;59.6066
25200;1;59.5948
25233;1;60
25266;1;59.6066
25300;1;59.5948
25333;1;60
25366;1;59.6066
25400;1;59.5948
25433;1;60
25466;1;59.6066
25500;1;59.5948
25533;1;60
25566;1;59.6066
25600;1;59.5948
25633;1;60
25666;1;59.6066
25700;1;59.5948
25733;1;60
25766;1;59.6066
25800;1;59.5948
25833;1;60
25866;1;59.6066
25900;1;59.5948
25933;1;60
25966;1;59.6066
26000;1;59.5948
26033;1;60
26066;1;59.6066
26100;1;59.5948
26133;1;60
26166;1;59.6066
26200;1;59.5948
26233;1;60
26266;1;59.6066
26300;1;59.5948
26333;1;60
26366;1;59.6066
26400;1;59.5948
26433;1;60
26466;1;59.6066
26500;1;59.5948
26533;1;60
26566;1;59.6066
26600;1;59.5948
26633;1;60
26666;1;59.6066
26700;1;59.5948
26733;1;60
26766;1;59.6066
26800;1;59.5948
26833;1;60
26866;1;59.6066
26900;1;59.5948
26933;1;60
26966;1;59.6066
27000;1;59.5948
27033;1;60
27066;1;59.6066
27100;1;59.5948
27133;1;60
27166;1;59.6066
27200;1;59.5948
27233;1;60
27266;1;59.6066
27300;1;59.5948
27333;1;60
