bpm : first_line /  time : 17:31:39:336
bpm : 89 /  time : 17:31:42:489
bpm : 89 /  time : 17:31:42:989
bpm : 89 /  time : 17:31:43:538
bpm : 89 /  time : 17:31:44:037
bpm : 89 /  time : 17:31:44:537
bpm : 89 /  time : 17:31:45:037
bpm : 89 /  time : 17:31:45:541
bpm : 90 /  time : 17:31:46:040
bpm : 90 /  time : 17:31:46:540
bpm : 90 /  time : 17:31:47:040
bpm : 90 /  time : 17:31:47:539
bpm : 91 /  time : 17:31:48:039
bpm : 91 /  time : 17:31:48:539
bpm : 92 /  time : 17:31:49:141
bpm : 92 /  time : 17:31:49:641
bpm : 92 /  time : 17:31:50:144
bpm : 92 /  time : 17:31:50:644
bpm : 92 /  time : 17:31:51:144
bpm : 92 /  time : 17:31:51:643
bpm : 92 /  time : 17:31:52:143
bpm : 92 /  time : 17:31:52:643
bpm : 92 /  time : 17:31:53:143
bpm : 91 /  time : 17:31:53:642
bpm : 91 /  time : 17:31:54:142
bpm : 91 /  time : 17:31:54:707
bpm : 91 /  time : 17:31:55:207
bpm : 91 /  time : 17:31:55:707
bpm : 90 /  time : 17:31:56:206
bpm : 90 /  time : 17:31:56:706
bpm : 90 /  time : 17:31:57:206
bpm : 90 /  time : 17:31:57:705
bpm : 89 /  time : 17:31:58:205
bpm : 89 /  time : 17:31:58:709
bpm : 89 /  time : 17:31:59:208
bpm : 89 /  time : 17:31:59:708
bpm : 89 /  time : 17:32:00:310
bpm : 89 /  time : 17:32:00:810
bpm : 89 /  time : 17:32:01:310
bpm : 89 /  time : 17:32:01:809
bpm : 89 /  time : 17:32:02:309
bpm : 88 /  time : 17:32:02:809
bpm : 88 /  time : 17:32:03:312
bpm : 88 /  time : 17:32:03:812
bpm : 88 /  time : 17:32:04:312
bpm : 87 /  time : 17:32:04:812
bpm : 87 /  time : 17:32:05:311
bpm : 87 /  time : 17:32:05:872
bpm : 87 /  time : 17:32:06:372
bpm : 87 /  time : 17:32:06:872
bpm : 87 /  time : 17:32:07:376
bpm : 87 /  time : 17:32:07:875
bpm : 87 /  time : 17:32:08:375
bpm : 87 /  time : 17:32:08:875
bpm : 87 /  time : 17:32:09:374
bpm : 87 /  time : 17:32:09:874
bpm : 87 /  time : 17:32:10:374
bpm : 87 /  time : 17:32:10:874
bpm : 87 /  time : 17:32:11:480
bpm : 87 /  time : 17:32:11:979
bpm : 87 /  time : 17:32:12:479
bpm : 87 /  time : 17:32:12:979
bpm : 87 /  time : 17:32:13:478
bpm : 88 /  time : 17:32:13:978
bpm : 88 /  time : 17:32:14:478
bpm : 88 /  time : 17:32:14:978
bpm : 88 /  time : 17:32:15:477
bpm : 88 /  time : 17:32:15:977
bpm : 88 /  time : 17:32:16:481
bpm : 88 /  time : 17:32:17:083
bpm : 88 /  time : 17:32:17:583
bpm : 88 /  time : 17:32:18:160
bpm : 88 /  time : 17:32:18:664
bpm : 88 /  time : 17:32:19:163
bpm : 87 /  time : 17:32:19:663
bpm : 87 /  time : 17:32:20:163
bpm : 87 /  time : 17:32:20:663
bpm : 87 /  time : 17:32:21:162
bpm : 86 /  time : 17:32:21:662
bpm : 86 /  time : 17:32:22:162
bpm : 86 /  time : 17:32:22:662
